86649;COXILHA;13;VEREADOR;11253;ROSELI DOS SANTOS DE CARVALHO;11;PP;FEMININO;6;ENSINO MEDIO COMPLETO;581;DONA DE CASA
88587;JARI;13;VEREADOR;11111;ERANDI HOHEMBERGER DE SOUZA;11;PP;MASCULINO;3;ENSINO FUNDAMENTAL INCOMPLETO;601;AGRICULTOR
88420;BENJAMIN CONSTANT DO SUL;13;VEREADOR;13555;GEZEN GARCIA;13;PT;MASCULINO;2;LE E ESCREVE;227;OPERADOR DE IMPLEMENTO DE AGRICULTURA, PECUARIA E EXPLORACAO FLORESTAL
87912;PELOTAS;13;VEREADOR;10020;VAGNER LEMOS BORGES;10;REPUBLICANOS;MASCULINO;7;SUPERIOR INCOMPLETO;999;OUTROS
89516;URUGUAIANA;13;VEREADOR;11777;JOSEFINA SOARES BRUGGEMANN;11;PP;FEMININO;6;ENSINO MEDIO COMPLETO;278;VEREADOR
89508;TIO HUGO;13;VEREADOR;12000;ANTONIO VILMAR BORN;12;PDT;MASCULINO;4;ENSINO FUNDAMENTAL COMPLETO;298;SERVIDOR PUBLICO MUNICIPAL
89630;VIAMAO;13;VEREADOR;13229;ALEXANDRA MACHADO SCHANDER;13;PT;FEMININO;8;SUPERIOR COMPLETO;296;SERVIDOR PUBLICO FEDERAL
85995;CAXIAS DO SUL;13;VEREADOR;50027;DAIANE  CORREIA;50;PSOL;FEMININO;6;ENSINO MEDIO COMPLETO;581;DONA DE CASA
89737;CAPAO DO LEAO;13;VEREADOR;12800;GABRIEL GONCALVES FERNANDES;12;PDT;MASCULINO;7;SUPERIOR INCOMPLETO;931;ESTUDANTE, BOLSISTA, ESTAGIARIO E ASSEMELHADOS
87777;PALMEIRA DAS MISSOES;13;VEREADOR;22111;VERA LUCIA BRUM AZEREDO;22;PL;FEMININO;8;SUPERIOR COMPLETO;169;COMERCIANTE
84743;TRES ARROIOS;13;VEREADOR;12642;RAFAEL POLLI OSTROVSKI;12;PDT;MASCULINO;6;ENSINO MEDIO COMPLETO;601;AGRICULTOR
86533;ESTRELA;13;VEREADOR;55210;ALESSANDRA DOS SANTOS;55;PSD;FEMININO;8;SUPERIOR COMPLETO;999;OUTROS
88382;ITAARA;13;VEREADOR;15444;PRISCILA STAGGEMEIER ROSSATO;15;MDB;FEMININO;8;SUPERIOR COMPLETO;124;CONTADOR
87998;PORTAO;13;VEREADOR;12345;MARCIO LACERDA;12;PDT;MASCULINO;7;SUPERIOR INCOMPLETO;190;FOTOGRAFO E ASSEMELHADOS
85804;CIDREIRA;13;VEREADOR;11011;IVAN DA ROSA JUNIOR;11;PP;MASCULINO;6;ENSINO MEDIO COMPLETO;298;SERVIDOR PUBLICO MUNICIPAL
87440;PONTE PRETA;12;VICE-PREFEITO;13;ELSIO CARLOS VALDUGA;13;PT;MASCULINO;3;ENSINO FUNDAMENTAL INCOMPLETO;601;AGRICULTOR
87297;LAJEADO;13;VEREADOR;40123;PEDRO DOVILIO WEBER;40;PSB;MASCULINO;3;ENSINO FUNDAMENTAL INCOMPLETO;923;APOSENTADO (EXCETO SERVIDOR PUBLICO)
85316;BAGE;13;VEREADOR;43043;ZENIR ITATIARA LIMA FAGUNDES;43;PV;FEMININO;6;ENSINO MEDIO COMPLETO;298;SERVIDOR PUBLICO MUNICIPAL
86193;CRUZ ALTA;13;VEREADOR;22487;JORGE ALEX NASCIMETNO GALVAO;22;PL;MASCULINO;4;ENSINO FUNDAMENTAL COMPLETO;999;OUTROS
88528;CRISTAL DO SUL;13;VEREADOR;40301;ANTONIO VALDERI RIBEIRO;40;PSB;MASCULINO;3;ENSINO FUNDAMENTAL INCOMPLETO;601;AGRICULTOR
89559;VENANCIO AIRES;13;VEREADOR;22033;ALEXANDRO DANIEL DA ROSA;22;PL;MASCULINO;4;ENSINO FUNDAMENTAL COMPLETO;999;OUTROS
86371;ERECHIM;13;VEREADOR;14444;ALTAMIR FERREIRA GOULART;14;PTB;MASCULINO;6;ENSINO MEDIO COMPLETO;411;VENDEDOR DE COMERCIO VAREJISTA E ATACADISTA
88633;SAO BORJA;13;VEREADOR;12112;FERMINO ABREU NUNES;12;PDT;MASCULINO;5;ENSINO MEDIO INCOMPLETO;931;ESTUDANTE, BOLSISTA, ESTAGIARIO E ASSEMELHADOS
88013;PORTO ALEGRE;13;VEREADOR;10777;VIVIANE PIRES SILVA;10;REPUBLICANOS;FEMININO;8;SUPERIOR COMPLETO;999;OUTROS
86851;GUAIBA;13;VEREADOR;12312;JORGE LUIS ROSSATO MONTEIRO;12;PDT;MASCULINO;6;ENSINO MEDIO COMPLETO;921;MILITAR REFORMADO
88277;RONDINHA;13;VEREADOR;11555;DIRCEU DOMINGOS ROMANI;11;PP;MASCULINO;6;ENSINO MEDIO COMPLETO;109;AGENTE DE SAUDE E SANITARISTA
88013;PORTO ALEGRE;13;VEREADOR;14051;ALEXSANDER DA CUNHA BARBOZA;14;PTB;MASCULINO;6;ENSINO MEDIO COMPLETO;257;EMPRESARIO
85936;CARLOS BARBOSA;13;VEREADOR;12012;LEONARDO GRISON;12;PDT;MASCULINO;8;SUPERIOR COMPLETO;131;ADVOGADO
86789;GRAMADO XAVIER;13;VEREADOR;10177;SIMONE ROVADOSKI DELL OSBEL;10;REPUBLICANOS;FEMININO;5;ENSINO MEDIO INCOMPLETO;601;AGRICULTOR
85014;AGUDO;13;VEREADOR;15789;JOAO DE DEUS;15;MDB;MASCULINO;6;ENSINO MEDIO COMPLETO;278;VEREADOR
88536;SANTO ANGELO;13;VEREADOR;15250;RENILDE DOS SANTOS RIBEIRO;15;MDB;FEMININO;6;ENSINO MEDIO COMPLETO;206;INDUSTRIAL
86851;GUAIBA;13;VEREADOR;12555;ALESSANDRO DOS SANTOS ALVES;12;PDT;MASCULINO;5;ENSINO MEDIO INCOMPLETO;278;VEREADOR
87912;PELOTAS;11;PREFEITO;50;JULIO CESAR PINTO DOMINGUES;50;PSOL;MASCULINO;8;SUPERIOR COMPLETO;266;PROFESSOR DE ENSINO MEDIO
85189;HARMONIA;13;VEREADOR;45245;DANIELLI MARCANSONI;45;PSDB;FEMININO;7;SUPERIOR INCOMPLETO;581;DONA DE CASA
88811;SAO LUIZ GONZAGA;13;VEREADOR;15650;IRENE BORGES NOTARJACOMO;15;MDB;FEMININO;8;SUPERIOR COMPLETO;923;APOSENTADO (EXCETO SERVIDOR PUBLICO)
85111;ALVORADA;13;VEREADOR;23007;VANDERLEI PINTO PEREIRA;23;CIDADANIA;MASCULINO;4;ENSINO FUNDAMENTAL COMPLETO;257;EMPRESARIO
86843;ITAPUCA;13;VEREADOR;25111;ELIZANDRO FERREIRA TABORDA;25;DEM;MASCULINO;4;ENSINO FUNDAMENTAL COMPLETO;532;MOTORISTA DE VEICULOS DE TRANSPORTE DE CARGA
86010;CERRO LARGO;13;VEREADOR;11123;MARIA HARTMANN;11;PP;FEMININO;6;ENSINO MEDIO COMPLETO;581;DONA DE CASA
